-92	-66	-44	-64	73	84	-31	82	55	-44	87	30	-53	-10	72	32	
-13	18	84	-47	40	55	21	52	-66	-16	-80	65	-99	-51	-41	-67	
3	-47	-11	100	-40	86	-66	-37	-7	-68	-64	32	-39	-50	96	-58	
53	-48	-45	-44	-56	-81	35	92	25	63	-47	60	-49	91	12	46	
26	69	-100	52	-84	-44	100	5	27	-53	78	25	34	-36	85	-34	
41	-81	12	-3	-47	59	53	-2	24	13	-52	20	-6	-22	8	-28	
-27	-15	-78	1	39	92	-61	21	29	-61	-16	25	-12	38	-3	37	
-21	18	-48	27	-63	79	80	-16	50	-5	-67	89	64	-100	12	26	
-94	47	97	-76	81	86	97	-46	31	35	28	-76	-57	-95	-78	20	
-100	77	69	14	-27	-77	-70	-66	45	32	44	12	-26	-18	93	74	
97	-14	-99	32	14	-30	-72	-76	16	62	-38	-86	-55	17	99	-86	
-95	-73	-5	-63	34	27	-89	-25	94	43	-66	97	72	-94	73	66	
-2	-83	-73	81	47	84	-79	-83	-37	-93	57	-37	42	-24	-21	-84	
67	-69	-91	24	-73	-83	-50	90	-4	-64	39	4	38	77	-84	18	
92	-10	1	-64	88	6	-58	-66	-52	-70	89	-57	12	42	-49	-78	
-10	-52	-22	34	89	72	-20	-7	90	-64	88	8	-59	35	-24	47	
-39	81	-44	-10	58	-62	-55	-17	87	19	-21	3	-60	58	-97	87	
21	-39	63	3	21	21	-37	51	-82	-24	62	92	-58	-70	84	49	
30	-54	66	20	61	-72	-76	-74	-68	-94	77	-4	50	53	48	32	
-92	-50	61	29	-19	100	-20	46	-46	-74	12	99	45	32	94	34	
-53	20	-94	-98	-6	-48	-75	-26	-79	-74	98	-43	-25	82	-18	-100	
-93	11	-87	-91	-77	58	-47	1	-27	85	-85	-66	98	99	79	-94	
16	57	91	-21	18	42	96	29	70	22	-91	28	93	-91	12	68	
-57	-66	47	33	90	-95	32	47	68	-92	-7	19	46	-8	-30	100	
83	34	39	71	64	66	-8	81	-81	14	-27	30	94	-36	-82	97	
16	22	81	-83	46	26	21	-57	-72	6	66	-15	37	-51	53	58	
69	-100	2	-65	6	-42	-62	52	-65	-99	25	95	18	-82	-25	-57	
62	-35	-33	-7	-22	-78	62	49	-45	-39	-32	33	-29	93	-95	-35	
-49	-32	-62	-11	75	-4	27	91	-52	31	15	-61	-71	-64	17	16	
60	-36	0	48	25	29	-36	-62	37	31	14	-76	-95	1	-1	-70	
2	-32	37	64	-82	-72	-22	-83	59	100	95	-12	38	-36	-42	84	
-5	-98	59	-87	75	-43	-16	77	-33	72	-98	43	-98	-77	-66	22	
